prof_id,week_day,hour_begin,hour_end,level,note,constraint
16,Thu,17:30,18:30,undesired,,"not (Thu, [17:30,18:30])"
16,Thu,18:30,19:30,undesired,,"not (Thu, [18:30,19:30])"
16,Tue,17:30,18:30,undesired,,"not (Tue, [17:30,18:30])"
16,Tue,18:30,19:30,undesired,,"not (Tue, [18:30,19:30])"
16,Wed,17:30,18:30,undesired,,"not (Wed, [17:30,18:30])"
16,Wed,18:30,19:30,undesired,,"not (Wed, [18:30,19:30])"
17,Mon,10:30,11:30,undesired,,"not (Mon, [10:30,11:30])"
17,Mon,13:30,14:30,undesired,,"not (Mon, [13:30,14:30])"
17,Mon,16:30,17:30,undesired,,"not (Mon, [16:30,17:30])"
17,Thu,8:30,09:30,impossible,,"NOT (Thu, [8:30,09:30])"
17,Tue,10:30,11:30,undesired,,"not (Tue, [10:30,11:30])"
17,Tue,13:30,14:30,undesired,,"not (Tue, [13:30,14:30])"
17,Tue,16:30,17:30,undesired,,"not (Tue, [16:30,17:30])"
17,Tue,8:30,9:30,undesired,,"not (Tue, [8:30,9:30])"
17,Tue,9:30,10:30,undesired,,"not (Tue, [9:30,10:30])"
17,Wed,8:30,09:30,impossible,,"NOT (Wed, [8:30,09:30])"
18,Fri,10:30,11:30,undesired,,"not (Fri, [10:30,11:30])"
18,Fri,11:30,12:30,undesired,,"not (Fri, [11:30,12:30])"
18,Fri,12:30,13:30,undesired,,"not (Fri, [12:30,13:30])"
18,Fri,13:30,14:30,undesired,,"not (Fri, [13:30,14:30])"
18,Fri,14:30,15:30,undesired,,"not (Fri, [14:30,15:30])"
18,Fri,8:30,9:30,undesired,,"not (Fri, [8:30,9:30])"
18,Fri,9:30,10:30,undesired,,"not (Fri, [9:30,10:30])"
18,Wed,11:30,12:30,impossible,,"NOT (Wed, [11:30,12:30])"
18,Wed,12:30,13:30,impossible,,"NOT (Wed, [12:30,13:30])"
18,Wed,13:30,14:30,undesired,,"not (Wed, [13:30,14:30])"
19,Fri,8:30,09:30,impossible,,"NOT (Fri, [8:30,09:30])"
19,Fri,9:30,10:30,undesired,,"not (Fri, [9:30,10:30])"
19,Mon,8:30,09:30,impossible,,"NOT (Mon, [8:30,09:30])"
19,Mon,9:30,10:30,undesired,,"not (Mon, [9:30,10:30])"
19,Thu,8:30,9:30,undesired,,"not (Thu, [8:30,9:30])"
19,Thu,9:30,10:30,undesired,,"not (Thu, [9:30,10:30])"
19,Tue,8:30,9:30,undesired,,"not (Tue, [8:30,9:30])"
19,Tue,9:30,10:30,undesired,,"not (Tue, [9:30,10:30])"
19,Wed,8:30,9:30,undesired,,"not (Wed, [8:30,9:30])"
19,Wed,9:30,10:30,undesired,,"not (Wed, [9:30,10:30])"
20,Fri,15:30,16:30,impossible,,"NOT (Fri, [15:30,16:30])"
20,Fri,16:30,17:30,impossible,,"NOT (Fri, [16:30,17:30])"
21,Fri,16:30,17:30,undesired,,"not (Fri, [16:30,17:30])"
21,Fri,8:30,09:30,undesired,,"not (Fri, [8:30,09:30])"
21,Mon,16:30,17:30,undesired,,"not (Mon, [16:30,17:30])"
21,Mon,8:30,09:30,impossible,,"NOT (Mon, [8:30,09:30])"
